epoch,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,lr,epoch_time
56,0.90582,0.21009,0.68486,0.27814,0.77357,0.22315,0.71257,0.29162,0.00035104680078842444,14.18497
57,0.87751,0.21470,0.69195,0.28092,0.74316,0.25228,0.73370,0.32092,0.0003383834619016499,14.25785
58,0.88476,0.21796,0.70003,0.28586,0.73650,0.23800,0.73317,0.30181,0.00032566723291590875,14.52493
59,0.88629,0.21853,0.68968,0.28515,0.72745,0.26340,0.73931,0.33130,0.00031289557722833565,14.29599
60,0.90495,0.22523,0.69396,0.29354,0.73678,0.24264,0.73180,0.30855,0.00030006571531761094,14.18123
61,0.91015,0.21554,0.68895,0.28397,0.74046,0.23830,0.73149,0.30573,0.0002871745887492587,14.03138
62,0.88135,0.20954,0.69483,0.27541,0.72247,0.24421,0.73750,0.30934,0.00027421881676983325,13.98163
63,0.85946,0.22885,0.69803,0.29706,0.72748,0.26626,0.74331,0.33474,0.00026119464349067857,13.79223
64,0.85206,0.22809,0.70100,0.29434,0.70869,0.25687,0.74236,0.32252,0.0002480978729804544,13.86531
65,0.82605,0.23804,0.70842,0.30605,0.69438,0.26070,0.74952,0.32426,0.00023492378861760376,13.80432
66,0.82435,0.23651,0.71760,0.30156,0.71860,0.27012,0.74486,0.34258,0.00022166705165320953,13.94452
67,0.86334,0.23622,0.69853,0.30592,0.69922,0.26491,0.74791,0.33201,0.0002083215718655689,13.72863
68,0.82005,0.23655,0.71521,0.30367,0.69368,0.25069,0.74734,0.31284,0.00019488034005995175,13.70579
69,0.86068,0.22878,0.70453,0.29597,0.68392,0.26782,0.75704,0.33052,0.00018133520731367455,14.53380
70,0.84411,0.23936,0.70790,0.30799,0.68358,0.27483,0.75561,0.34038,0.00016767658810915264,14.98517
71,0.85116,0.24160,0.70374,0.31107,0.67870,0.26233,0.75309,0.32671,0.00015389305166811456,14.71242
72,0.85749,0.23756,0.70463,0.30664,0.69456,0.27411,0.75436,0.34097,0.00013997074372496866,15.45445
73,0.85458,0.23620,0.70170,0.30516,0.68779,0.26765,0.75299,0.33071,0.00012589254117941672,14.86702
74,0.81925,0.24983,0.71249,0.32103,0.67158,0.26876,0.75646,0.33277,0.000111636766199682,15.33337
75,0.83255,0.24648,0.71290,0.31522,0.67177,0.28155,0.76382,0.34669,9.71751315111567e-05,15.03143
76,0.80442,0.24364,0.72396,0.30967,0.66774,0.28400,0.76437,0.35017,8.24692444233059e-05,15.13193
77,0.84477,0.24655,0.70317,0.31730,0.66385,0.29414,0.76815,0.36116,6.746414238367822e-05,15.46672
78,0.80058,0.25266,0.71652,0.32255,0.66993,0.29340,0.76895,0.36098,5.207486358606603e-05,15.63591
79,0.81688,0.24805,0.72049,0.31514,0.65772,0.27626,0.76572,0.33905,3.615313873979815e-05,15.49243
80,0.81734,0.24034,0.71125,0.30826,0.66185,0.28700,0.76754,0.35320,1.9373987344354152e-05,15.91204
