epoch,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,lr,epoch_time
55,0.11667,0.79694,0.95782,0.85990,0.13665,0.74364,0.95362,0.80180,3.636595733556942e-05,39.55254
56,0.13163,0.78493,0.95402,0.84895,0.14687,0.75245,0.95019,0.84197,3.5104680078842445e-05,39.08745
57,0.13319,0.79113,0.95345,0.85506,0.13902,0.75314,0.95248,0.83158,3.3838346190164985e-05,38.86994
58,0.13879,0.77750,0.95091,0.84457,0.13412,0.75694,0.95400,0.82930,3.256672329159088e-05,39.81691
59,0.13397,0.78590,0.95303,0.85001,0.13545,0.75637,0.95413,0.82572,3.1289557722833565e-05,39.03142
60,0.13203,0.78955,0.95349,0.85415,0.13084,0.75925,0.95505,0.83206,3.0006571531761097e-05,38.10629
61,0.11854,0.79547,0.95719,0.85804,0.13062,0.75925,0.95549,0.82398,2.8717458874925874e-05,36.42469
62,0.12430,0.79755,0.95606,0.86101,0.13475,0.75800,0.95451,0.82703,2.7421881676983325e-05,37.97336
63,0.12361,0.79446,0.95618,0.85479,0.13587,0.75939,0.95399,0.82921,2.6119464349067856e-05,39.12703
64,0.12445,0.79241,0.95545,0.85443,0.13449,0.76251,0.95490,0.84195,2.4809787298045438e-05,38.36112
65,0.12524,0.79645,0.95445,0.85940,0.13280,0.76173,0.95470,0.82651,2.3492378861760376e-05,38.57688
66,0.12559,0.79497,0.95470,0.85834,0.13215,0.76175,0.95490,0.83078,2.2166705165320953e-05,36.23951
67,0.12018,0.79140,0.95677,0.85404,0.12861,0.76292,0.95614,0.82993,2.083215718655689e-05,36.43323
68,0.11395,0.80081,0.95856,0.86269,0.13166,0.76202,0.95564,0.82507,1.9488034005995177e-05,35.85314
69,0.11509,0.79963,0.95768,0.85982,0.13131,0.76548,0.95515,0.84026,1.8133520731367457e-05,35.89556
70,0.11737,0.80207,0.95743,0.86310,0.12973,0.75739,0.95582,0.81226,1.6767658810915266e-05,36.64133
71,0.11655,0.79923,0.95777,0.86032,0.12817,0.76307,0.95639,0.82394,1.5389305166811456e-05,36.74386
72,0.11448,0.80122,0.95854,0.86100,0.12683,0.76937,0.95665,0.84258,1.3997074372496866e-05,37.07502
73,0.11326,0.80019,0.95865,0.86070,0.13097,0.76613,0.95571,0.83293,1.2589254117941671e-05,38.72088
74,0.11070,0.80761,0.96002,0.86711,0.12816,0.76448,0.95643,0.82957,1.11636766199682e-05,37.52065
75,0.11095,0.80824,0.95966,0.86862,0.12682,0.76990,0.95680,0.84106,9.71751315111567e-06,37.69223
76,0.12129,0.79705,0.95600,0.85721,0.12904,0.76975,0.95597,0.84097,8.24692444233059e-06,38.60830
77,0.11223,0.80523,0.95921,0.86716,0.12748,0.76862,0.95663,0.83573,6.746414238367822e-06,36.95590
78,0.11573,0.80394,0.95850,0.86440,0.12659,0.77027,0.95696,0.83577,5.207486358606603e-06,37.05537
79,0.11960,0.80183,0.95664,0.86465,0.12706,0.76666,0.95674,0.82792,3.615313873979815e-06,36.57046
80,0.11148,0.81068,0.95892,0.86936,0.12643,0.76858,0.95700,0.83156,1.9373987344354153e-06,36.80741
