epoch,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,lr,epoch_time
55,0.52487,0.35504,0.83065,0.42840,0.45313,0.38615,0.85718,0.46541,3.636595733556942e-05,38.90342
56,0.55680,0.34897,0.81828,0.42703,0.42974,0.38616,0.85877,0.45774,3.5104680078842445e-05,38.43254
57,0.54855,0.35115,0.82003,0.43004,0.45611,0.37657,0.85342,0.43825,3.3838346190164985e-05,39.09038
58,0.54524,0.35379,0.82406,0.42855,0.44074,0.37508,0.85293,0.44262,3.256672329159088e-05,38.70705
59,0.55116,0.35224,0.82404,0.42723,0.43746,0.39011,0.86139,0.46458,3.1289557722833565e-05,40.55382
60,0.52930,0.35812,0.82796,0.43522,0.41701,0.39378,0.86656,0.46052,3.0006571531761097e-05,39.73726
61,0.51472,0.35662,0.83181,0.42977,0.44030,0.38668,0.85723,0.46299,2.8717458874925874e-05,38.51830
62,0.51376,0.36769,0.83342,0.44263,0.42733,0.39287,0.86228,0.47338,2.7421881676983325e-05,38.67342
63,0.49777,0.36704,0.84061,0.44226,0.40378,0.39919,0.87044,0.46467,2.6119464349067856e-05,38.66317
64,0.52858,0.36308,0.83024,0.43770,0.41639,0.39541,0.86621,0.46966,2.4809787298045438e-05,37.86151
65,0.51715,0.35993,0.83031,0.43598,0.40201,0.39781,0.86972,0.46613,2.3492378861760376e-05,38.04097
66,0.51602,0.36234,0.83134,0.43815,0.41632,0.39165,0.86344,0.46242,2.2166705165320953e-05,39.40945
67,0.49560,0.36915,0.83935,0.44491,0.40402,0.39756,0.86958,0.46283,2.083215718655689e-05,40.69883
68,0.47440,0.37461,0.84644,0.44736,0.41836,0.39108,0.86334,0.45288,1.9488034005995177e-05,40.46890
69,0.49734,0.36954,0.84055,0.44251,0.40841,0.40175,0.87026,0.47684,1.8133520731367457e-05,37.39258
70,0.48350,0.37135,0.84204,0.44500,0.41305,0.39909,0.86917,0.47052,1.6767658810915266e-05,38.38544
71,0.48505,0.37256,0.84092,0.44667,0.39078,0.40682,0.87611,0.47171,1.5389305166811456e-05,38.96276
72,0.47061,0.37624,0.84768,0.44883,0.38614,0.40317,0.87333,0.46866,1.3997074372496866e-05,39.65129
73,0.45486,0.38086,0.85356,0.45143,0.39601,0.40583,0.87331,0.47740,1.2589254117941671e-05,39.21714
74,0.48120,0.37314,0.84287,0.44626,0.40197,0.40606,0.87295,0.47967,1.11636766199682e-05,39.51186
75,0.47294,0.37974,0.84543,0.45365,0.38924,0.40984,0.87618,0.48122,9.71751315111567e-06,38.48201
76,0.50299,0.36692,0.83671,0.44104,0.39232,0.40864,0.87500,0.47933,8.24692444233059e-06,39.04412
77,0.47885,0.37486,0.84467,0.44763,0.38131,0.40979,0.87638,0.47810,6.746414238367822e-06,38.68123
78,0.48199,0.37684,0.84338,0.45136,0.38701,0.40972,0.87636,0.47842,5.207486358606603e-06,38.24630
79,0.47132,0.37973,0.84468,0.45293,0.37952,0.41142,0.87724,0.47861,3.615313873979815e-06,37.92050
80,0.47590,0.37826,0.84293,0.45209,0.38378,0.41188,0.87729,0.48058,1.9373987344354153e-06,38.44620
