epoch,train_loss,train_miou,train_pixel_acc,train_mean_acc,val_loss,val_miou,val_pixel_acc,val_mean_acc,lr,epoch_time
1,3.24096,0.01219,0.26770,0.03477,2.95935,0.01009,0.29263,0.03448,0.01,20.65458
2,2.74512,0.01005,0.29137,0.03448,2.56554,0.01009,0.29263,0.03448,0.009887429363102976,21.49483
3,2.39798,0.01494,0.30856,0.03802,2.12917,0.03037,0.36769,0.05569,0.009774716137503496,19.73973
4,1.99364,0.03687,0.44699,0.06859,1.88138,0.04313,0.49389,0.07413,0.009661858310936048,19.72487
5,1.86589,0.04215,0.48325,0.07320,1.81123,0.04384,0.50463,0.07618,0.009548853816214998,21.17591
6,1.78593,0.04589,0.50449,0.07643,1.73993,0.04758,0.52036,0.07678,0.009435700528992709,19.22928
7,1.71936,0.04724,0.51455,0.07790,1.64891,0.05119,0.55190,0.08218,0.009322396265394996,19.05705
8,1.59862,0.05175,0.54314,0.08281,1.50834,0.05501,0.57772,0.08616,0.009208938779525475,19.24628
9,1.53762,0.05230,0.55091,0.08332,1.46419,0.05642,0.58609,0.08669,0.009095325760829623,18.50751
10,1.46177,0.05587,0.57397,0.08673,1.40587,0.05897,0.59983,0.08858,0.008981554831308601,18.59102
11,1.40272,0.05863,0.58658,0.08884,1.36254,0.06353,0.59501,0.09251,0.008867623542572074,19.13767
12,1.36040,0.06171,0.59869,0.09124,1.33490,0.06346,0.61645,0.09297,0.008753529372718213,18.60209
13,1.32658,0.06389,0.60362,0.09294,1.30352,0.06650,0.61171,0.09534,0.008639269723028191,19.06600
14,1.30870,0.06567,0.60723,0.09427,1.28205,0.06641,0.62450,0.09548,0.008524841914461165,18.70639
15,1.28650,0.06699,0.61034,0.09546,1.27611,0.07028,0.62031,0.09746,0.008410243183934575,19.62552
16,1.26834,0.06823,0.61195,0.09665,1.25103,0.07264,0.62439,0.10017,0.008295470680373175,19.15257
17,1.26486,0.06876,0.61148,0.09708,1.25772,0.07074,0.62672,0.09872,0.008180521460508584,19.02588
18,1.25085,0.06977,0.61494,0.09828,1.23354,0.07270,0.62760,0.10065,0.0080653924844095,19.27106
19,1.24247,0.07087,0.61717,0.09913,1.22456,0.07042,0.63414,0.09892,0.00795008061072074,18.98951
20,1.23773,0.07105,0.61938,0.09950,1.21099,0.07245,0.63762,0.10107,0.0078345825915871,18.69123
21,1.22071,0.07176,0.62255,0.10002,1.20670,0.07842,0.63126,0.10622,0.007718895067235705,18.67249
22,1.21914,0.07281,0.62249,0.10135,1.19830,0.07539,0.63843,0.10398,0.007603014560187753,18.42658
23,1.20384,0.07404,0.62697,0.10254,1.19523,0.07761,0.64029,0.10729,0.007486937469067589,19.72528
24,1.20772,0.07421,0.62374,0.10292,1.21982,0.07139,0.63402,0.10190,0.007370660061973678,18.78541
25,1.19370,0.07533,0.62918,0.10409,1.20140,0.07466,0.64138,0.10361,0.007254178469372199,18.88268
26,1.19096,0.07448,0.62804,0.10304,1.17834,0.07812,0.63553,0.10650,0.007137488676469779,19.63063
27,1.17955,0.07683,0.63111,0.10599,1.18662,0.07503,0.63874,0.10314,0.00702058651501696,20.44196
28,1.18025,0.07649,0.63218,0.10512,1.16581,0.08176,0.63331,0.11007,0.006903467654488615,17.89738
29,1.17309,0.07614,0.63353,0.10499,1.16943,0.08059,0.62385,0.11013,0.006786127592581251,18.39940
30,1.15425,0.07844,0.63595,0.10740,1.15281,0.08153,0.64167,0.10981,0.006668561644960107,17.13905
31,1.15651,0.07843,0.63539,0.10768,1.15239,0.07834,0.64858,0.10735,0.006550764934180986,18.13419
32,1.14493,0.07886,0.64046,0.10815,1.13359,0.08533,0.64935,0.11475,0.006432732377702437,19.23816
33,1.14132,0.07989,0.63919,0.10964,1.13539,0.08191,0.65358,0.11215,0.006314458674893553,18.58712
34,1.15051,0.07928,0.63608,0.10845,1.13458,0.08209,0.65437,0.11157,0.0061959382929304835,18.28945
35,1.14860,0.07985,0.63781,0.10908,1.12915,0.08619,0.65296,0.11583,0.006077165451460892,18.75448
36,1.12599,0.08174,0.64462,0.11121,1.13608,0.08532,0.65584,0.11539,0.005958134105899569,18.73996
